Participant,Block,Trial,StimLeft,StimRight
49,1,1,obj02.png,obj06.png
49,1,2,obj01.png,obj14.png
49,1,3,obj06.png,obj14.png
49,1,4,obj09.png,obj03.png
49,1,5,obj11.png,obj05.png
49,1,6,obj00.png,obj02.png
49,1,7,obj12.png,obj04.png
49,1,8,obj05.png,obj20.png
49,1,9,obj05.png,obj14.png
49,1,10,obj12.png,obj06.png
49,1,11,obj01.png,obj07.png
49,1,12,obj12.png,obj14.png
49,1,13,obj06.png,obj04.png
49,1,14,obj06.png,obj07.png
49,1,15,obj09.png,obj04.png
49,1,16,obj07.png,obj03.png
49,1,17,obj20.png,obj06.png
49,1,18,obj05.png,obj13.png
49,1,19,obj05.png,obj03.png
49,1,20,obj03.png,obj11.png
49,1,21,obj02.png,obj03.png
49,1,22,obj04.png,obj20.png
49,1,23,obj20.png,obj01.png
49,1,24,obj14.png,obj03.png
49,1,25,obj11.png,obj12.png
49,1,26,obj01.png,obj12.png
49,1,27,obj13.png,obj07.png
49,1,28,obj09.png,obj14.png
49,1,29,obj07.png,obj00.png
49,1,30,obj09.png,obj00.png
49,1,31,obj20.png,obj02.png
49,1,32,obj06.png,obj13.png
49,1,33,obj09.png,obj20.png
49,1,34,obj00.png,obj04.png
49,1,35,obj13.png,obj02.png
49,1,36,obj07.png,obj09.png
49,1,37,obj06.png,obj05.png
49,1,38,obj11.png,obj13.png
49,1,39,obj12.png,obj09.png
49,1,40,obj13.png,obj09.png
49,1,41,obj06.png,obj03.png
49,1,42,obj04.png,obj05.png
49,1,43,obj20.png,obj13.png
49,1,44,obj02.png,obj07.png
49,1,45,obj01.png,obj02.png
49,1,46,obj05.png,obj12.png
49,1,47,obj04.png,obj02.png
49,1,48,obj00.png,obj05.png
49,1,49,obj13.png,obj14.png
49,1,50,obj14.png,obj02.png
49,1,51,obj02.png,obj11.png
49,1,52,obj14.png,obj04.png
49,1,53,obj06.png,obj00.png
49,1,54,obj09.png,obj02.png
49,1,55,obj20.png,obj14.png
49,1,56,obj02.png,obj05.png
49,1,57,obj01.png,obj13.png
49,1,58,obj11.png,obj20.png
49,1,59,obj14.png,obj07.png
49,1,60,obj01.png,obj00.png
49,1,61,obj07.png,obj05.png
49,1,62,obj07.png,obj20.png
49,1,63,obj06.png,obj01.png
49,1,64,obj11.png,obj14.png
49,1,65,obj01.png,obj03.png
49,1,66,obj13.png,obj03.png
49,1,67,obj04.png,obj01.png
49,1,68,obj12.png,obj13.png
49,1,69,obj12.png,obj07.png
49,1,70,obj11.png,obj09.png
49,1,71,obj03.png,obj04.png
49,1,72,obj00.png,obj11.png
49,1,73,obj04.png,obj11.png
49,1,74,obj00.png,obj20.png
49,1,75,obj03.png,obj00.png
49,1,76,obj12.png,obj00.png
49,1,77,obj12.png,obj02.png
49,1,78,obj11.png,obj01.png
49,1,79,obj09.png,obj06.png
49,1,80,obj09.png,obj01.png
49,1,81,obj12.png,obj20.png
49,1,82,obj03.png,obj20.png
49,1,83,obj03.png,obj12.png
49,1,84,obj11.png,obj06.png
49,1,85,obj09.png,obj05.png
49,1,86,obj05.png,obj01.png
49,1,87,obj13.png,obj04.png
49,1,88,obj13.png,obj00.png
49,1,89,obj07.png,obj04.png
49,1,90,obj14.png,obj00.png
49,1,91,obj07.png,obj11.png
